,id,ftype,image_loc,mask_loc,height,width,area,aeroplane_sum,bicycle_sum,bird_sum,boat_sum,bottle_sum,bus_sum,car_sum,cat_sum,chair_sum,cow_sum,diningtable_sum,dog_sum,horse_sum,motorbike_sum,person_sum,pottedplant_sum,sheep_sum,sofa_sum,train_sum,tvmonitor_sum,background_sum,border_sum,major_label,major_num,aeroplane_prop,bicycle_prop,bird_prop,boat_prop,bottle_prop,bus_prop,car_prop,cat_prop,chair_prop,cow_prop,diningtable_prop,dog_prop,horse_prop,motorbike_prop,person_prop,pottedplant_prop,sheep_prop,sofa_prop,train_prop,tvmonitor_prop,background_prop,border_prop,aeroplane_cnt,bicycle_cnt,bird_cnt,boat_cnt,bottle_cnt,bus_cnt,car_cnt,cat_cnt,chair_cnt,cow_cnt,diningtable_cnt,dog_cnt,horse_cnt,motorbike_cnt,person_cnt,pottedplant_cnt,sheep_cnt,sofa_cnt,train_cnt,tvmonitor_cnt,background_cnt,border_cnt,use_image,cluster_num_16,random_rstate1_fold0,random_rstate1_fold1,random_rstate1_fold2,random_rstate1_fold3,random_rstate1_fold4,skf_prop_rstate1_fold0,skf_prop_rstate1_fold1,skf_prop_rstate1_fold2,skf_prop_rstate1_fold3,skf_prop_rstate1_fold4,skf_major_rstate1_fold0,skf_major_rstate1_fold1,skf_major_rstate1_fold2,skf_major_rstate1_fold3,skf_major_rstate1_fold4,random_rstate2_fold0,random_rstate2_fold1,random_rstate2_fold2,random_rstate2_fold3,random_rstate2_fold4,skf_prop_rstate2_fold0,skf_prop_rstate2_fold1,skf_prop_rstate2_fold2,skf_prop_rstate2_fold3,skf_prop_rstate2_fold4,skf_major_rstate2_fold0,skf_major_rstate2_fold1,skf_major_rstate2_fold2,skf_major_rstate2_fold3,skf_major_rstate2_fold4,random_rstate3_fold0,random_rstate3_fold1,random_rstate3_fold2,random_rstate3_fold3,random_rstate3_fold4,skf_prop_rstate3_fold0,skf_prop_rstate3_fold1,skf_prop_rstate3_fold2,skf_prop_rstate3_fold3,skf_prop_rstate3_fold4,skf_major_rstate3_fold0,skf_major_rstate3_fold1,skf_major_rstate3_fold2,skf_major_rstate3_fold3,skf_major_rstate3_fold4,random_rstate4_fold0,random_rstate4_fold1,random_rstate4_fold2,random_rstate4_fold3,random_rstate4_fold4,skf_prop_rstate4_fold0,skf_prop_rstate4_fold1,skf_prop_rstate4_fold2,skf_prop_rstate4_fold3,skf_prop_rstate4_fold4,skf_major_rstate4_fold0,skf_major_rstate4_fold1,skf_major_rstate4_fold2,skf_major_rstate4_fold3,skf_major_rstate4_fold4,random_rstate5_fold0,random_rstate5_fold1,random_rstate5_fold2,random_rstate5_fold3,random_rstate5_fold4,skf_prop_rstate5_fold0,skf_prop_rstate5_fold1,skf_prop_rstate5_fold2,skf_prop_rstate5_fold3,skf_prop_rstate5_fold4,skf_major_rstate5_fold0,skf_major_rstate5_fold1,skf_major_rstate5_fold2,skf_major_rstate5_fold3,skf_major_rstate5_fold4
10,2007_000333,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000333.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000333.png,333,500,166500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46635,0,115576,4289,train,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800900900900901,0.0,0.6941501501501501,0.02575975975975976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,4,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train
11,2007_000363,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000363.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000363.png,333,500,166500,0,0,38693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118397,9410,bird,3,0.0,0.0,0.2323903903903904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7110930930930931,0.05651651651651652,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train
12,2007_000364,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000364.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000364.png,375,500,187500,0,0,0,0,0,0,0,0,0,0,0,0,0,53289,5103,0,0,0,0,0,114863,14245,motorbike,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284208,0.027216,0.0,0.0,0.0,0.0,0.0,0.6126026666666666,0.07597333333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,5,val,train,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train
13,2007_000392,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000392.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000392.png,332,500,166000,0,0,0,0,0,0,0,0,0,0,0,0,13875,0,4019,0,0,0,0,0,129098,19008,horse,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08358433734939759,0.0,0.024210843373493975,0.0,0.0,0.0,0.0,0.0,0.7776987951807229,0.11450602409638554,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,0,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train
14,2007_000480,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000480.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000480.png,375,500,187500,38847,0,0,0,0,0,0,0,0,0,0,0,0,0,53796,0,0,0,0,0,81847,13010,person,15,0.207184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286912,0.0,0.0,0.0,0.0,0.0,0.4365173333333333,0.06938666666666667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train
15,2007_000504,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000504.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000504.png,412,500,206000,0,0,0,0,0,0,0,0,0,21270,0,0,0,0,4684,0,0,0,0,0,174108,5938,cow,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10325242718446602,0.0,0.0,0.0,0.0,0.022737864077669902,0.0,0.0,0.0,0.0,0.0,0.8451844660194174,0.028825242718446602,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,0,train,train,train,train,val,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val
16,2007_000515,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000515.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000515.png,375,500,187500,0,355,0,0,0,0,2337,0,0,0,0,0,0,0,1906,0,0,0,0,0,178094,4808,car,7,0.0,0.0018933333333333332,0.0,0.0,0.0,0.0,0.012464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010165333333333334,0.0,0.0,0.0,0.0,0.0,0.9498346666666667,0.025642666666666668,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val
17,2007_000528,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000528.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000528.png,375,500,187500,0,0,0,0,0,0,0,21937,0,0,0,0,0,0,0,0,0,0,0,0,161317,4246,cat,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8603573333333333,0.022645333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train
18,2007_000549,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000549.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000549.png,500,375,187500,0,0,0,0,0,0,0,136278,0,0,0,0,0,0,0,0,0,0,0,0,47770,3452,cat,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25477333333333335,0.018410666666666665,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,3,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train
19,2007_000584,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000584.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000584.png,375,500,187500,0,24371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18503,0,0,128275,16351,bicycle,2,0.0,0.12997866666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09868266666666667,0.0,0.0,0.6841333333333334,0.08720533333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train
20,2007_000645,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000645.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000645.png,375,500,187500,0,0,55700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124345,7455,bird,3,0.0,0.0,0.29706666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631733333333333,0.03976,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,train,train,train,train,val,train,train,train,train,val,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train
21,2007_000648,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000648.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000648.png,333,500,166500,3182,0,0,0,0,44482,190,0,0,0,0,0,0,0,323,0,0,0,0,0,110364,7959,bus,6,0.01911111111111111,0.0,0.0,0.0,0.0,0.26715915915915917,0.0011411411411411411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193993993993994,0.0,0.0,0.0,0.0,0.0,0.6628468468468468,0.0478018018018018,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,6,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train
22,2007_000713,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000713.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000713.png,336,500,168000,0,0,0,35829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127832,4339,boat,4,0.0,0.0,0.0,0.21326785714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7609047619047619,0.025827380952380952,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train
23,2007_000720,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000720.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000720.png,333,500,166500,0,0,0,0,0,0,0,0,0,0,0,7490,0,0,0,0,0,0,0,0,156665,2345,dog,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04498498498498499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409309309309309,0.014084084084084084,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,0,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,val,train,train,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train,val,val,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train
24,2007_000733,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000733.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000733.png,435,450,195750,0,0,0,0,0,0,0,0,0,0,0,0,0,35804,28855,0,0,0,0,0,120526,10565,motorbike,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18290676883780332,0.1474074074074074,0.0,0.0,0.0,0.0,0.0,0.6157139208173691,0.05397190293742018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,5,train,train,train,train,val,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val,train
